Videos title,Views,Length of videos,Videos link
All Your Queries Answered | DSA to Development Program | GeeksforGeeks,704,3:47,https://www.youtube.com/watch?v=kHBzDvj3D2U
Complete Guide to Software Testing and Automation,1098,50:16,https://www.youtube.com/watch?v=iOnGnUYWNLo
GCP Use Cases | GeeksforGeeks #shorts,1164,50,https://www.youtube.com/watch?v=hH4EtOUXxOg
Kickstarting your Content Creation Side Hustle | Steps to Success,777,45:51,https://www.youtube.com/watch?v=-MfwsJmlcKU
Printer Input Changes | GeeksforGeeks,755,36,https://www.youtube.com/watch?v=N8nnp2OBDTs
3 Reasons Why You Should Learn GCP | GeeksforGeeks #shorts,1294,56,https://www.youtube.com/watch?v=ub3KzaT6w2Y
10 TIPS and TRICKS to Crack Internships and Placements | GeeksforGeeks,682,9:53,https://www.youtube.com/watch?v=2QDMIZGeIC4
Day 31 Real-world Microservices Use Cases of Netflix Amazon Uber,937,1:8:33,https://www.youtube.com/watch?v=45qWz27YjNY
Competitive Programming Tips and Tricks | GeeksforGeeks #shorts,1692,58,https://www.youtube.com/watch?v=GaP1x4ubzw8
Complete School Guide for CBSE | Free Resources For School Students | GeeksforGeeks,512,56,https://www.youtube.com/watch?v=1ECMlxC6jbs
Day 30 Creating an Impactful and Targeted Resume | Geek-O-Lympics,1048,50:57,https://www.youtube.com/watch?v=FJd4BB6CLF0
Day-29 AI Powered ChatBot with ChatGPT | Geek-O-Lympics,759,30:5,https://www.youtube.com/watch?v=uJn5LLzoqPQ
"""Yes I know how to code""",5740,8,https://www.youtube.com/watch?v=hP9ficE9NHU
Day 27: Advancement in NLP( Natural Langauge Processing) | Geek-O-Lympics 2023,704,59:11,https://www.youtube.com/watch?v=7JGSxDlxK08
Showing Off your Geek-A-Thon Project,740,27:30,https://www.youtube.com/watch?v=cWx5bmyXEDc
Master System Design | GeeksforGeeks,7298,46,https://www.youtube.com/watch?v=vjWLZYeqiN8
"Unraveling the Geek-a-thon: The What, How, and Why | Geek-A-Thon | GeeksforGeeks",440,45:44,https://www.youtube.com/watch?v=6e0v_NhsFMQ
Day 26 | Understanding and Implementing Binary Trees | Anvita Bansal | Geek-O-lympics,830,52:22,https://www.youtube.com/watch?v=GtwUUME5AuE
The Art of Coding under Pressure | Competitive Programming,1916,33,https://www.youtube.com/watch?v=NamulVnhsNk
Data Analysis Masterclass | Geek-A-Thon | GeeksforGeeks,597,1:29:21,https://www.youtube.com/watch?v=-7Emxpn8DXc
Day 25 - PRODUCT MANAGEMENT SECRETS: From Idea to Market Success | Geek-O-Lympics 2023,540,49:44,https://www.youtube.com/watch?v=Nup3enNhVbU
GeeksforGeeks Offline Classroom Program | Now Open In Noida & Gurgaon,9062,28,https://www.youtube.com/watch?v=2bPiFkt3Nmg
"Day 24: CLOUD COMPUTING: Comparing AWS, Azure and Google Cloud | Geek-O-Lympics 2023",764,1:14:26,https://www.youtube.com/watch?v=iXIpnq_dKWo
🤯THREADS - The Real Twitter Killer?🤯 || GeeksforGeeks,884,56,https://www.youtube.com/watch?v=iWMR619Vxsk
Day 23 Django vs Flask | Choosing your correct Python framework,831,44:33,https://www.youtube.com/watch?v=Jt7PpK5w9QM
Day 22 The DevOps Mindset | Transforming Organizations for Continuous Innovation,501,46:42,https://www.youtube.com/watch?v=YBPHbwwOD1g
Software Testing | A booming Career Option | Nitesh Jain,793,55:13,https://www.youtube.com/watch?v=l336TXj7678
Day 21 Empowering the future | Coding and Problem Solving in School,860,26:47,https://www.youtube.com/watch?v=kXfdw5pEkeM
Kickstart your DevOps Career | GeeksforGeeks,14968,30,https://www.youtube.com/watch?v=8gwwlpBwr_s
Day 20 Future proofing your career | Exploring GATE and Masters,761,47:29,https://www.youtube.com/watch?v=iaw3vRUSwHY
Artificial Intelligence Revolution | GeeksforGeeks #shorts,937,46,https://www.youtube.com/watch?v=da24YT3-KQo
First Ever KBC at our Offline Classes | GeeksforGeeks,601,37,https://www.youtube.com/watch?v=chYg2EAKW2A
Day- 19 From Idea to Startup | Navigating Entrepreneurial Journey,681,1:21:21,https://www.youtube.com/watch?v=9C2S9XIlahc
The Art of Dataset Creation | Geek-A-Thon 2023,689,53:25,https://www.youtube.com/watch?v=jL8VS-za5hM
Day-18 Career Path in Tech | Navigating Job Market | Priya Vajpeyi,949,1:21,https://www.youtube.com/watch?v=7cTq-4HJPG0
Important SKILLS for CAREER Growth | GeeksforGeeks #shorts,909,35,https://www.youtube.com/watch?v=Dcba-9x5Wpc
Day-17 Leveraging Online Resources | Adapting to change in evolving Tech Era | Vasu Sehgal,1016,54:25,https://www.youtube.com/watch?v=I2WPAXQYh5M
How Quantum Computing Can Change Everything | GeeksforGeeks #shorts,1349,44,https://www.youtube.com/watch?v=W2N6xm_OZxM
Day 16 From Good to Great with DSA and Development | Genie Ashwani | Geek-O-Lympics,1351,53:6,https://www.youtube.com/watch?v=9jGgXZV6tLw
Day 15 | How to Get Software Testing Job | Nitesh Jain | Geek-O-Lympics 2023,1032,41:16,https://www.youtube.com/watch?v=RS6A-Xj63BM
Best Practices - API Deployment and Tech Stacks | Geek-A-Thon 2023,2150,53:12,https://www.youtube.com/watch?v=3Nyj4pgRJJM
Day 14 | Data Structures for Modern Applications | DSA in era of Big Data & AI | Geek-O-Lympics 2023,1320,50:50,https://www.youtube.com/watch?v=Bsj3Zt5yetc
It'll work. Trust me I'm A Coder.,5699,12,https://www.youtube.com/watch?v=y-SA-uP6AUE
Day 13 | Chatbots and ChatGPT | Revolutionizing Human Machine Conversations | Geek-O-Lympics 2023,766,1:1:37,https://www.youtube.com/watch?v=ELSBed8U35I
How to MOTIVATE yourself in Tough times | GeeksforGeeks #shorts,1106,30,https://www.youtube.com/watch?v=6rEw_Vz6Ekg
Mega Job-a-thon for Working Professionals | 21st July | GeeksforGeeks,1033,36,https://www.youtube.com/watch?v=CyOh-WDfUvs
Day 12 | Big Data Unleashed | Wondering how you stay glued to Netflix?,801,1:1:25,https://www.youtube.com/watch?v=T6_CHzjhwEc
ArtificiaI Intelligence Changing the world | GeeksforGeeks #shorts,1001,47,https://www.youtube.com/watch?v=YGvt29YX_MA
Day 11 | From data to Insights | The journey of a Data Scientist | Geek-O-Lympics 2023,1393,58:35,https://www.youtube.com/watch?v=lvVrQI6S3V8
Get ready to Master Recursion | GeeksforGeeks #shorts,979,28,https://www.youtube.com/watch?v=uQFtOv5vp1A
Prepare for Gate the right way. #gate #gate2024 #gatecse #gateexam #geeksforgeeks #coding,1233,59,https://www.youtube.com/watch?v=IowSWLoGkec
Day 10 | Machine Learning 101 | Geek-O-Lympics 2023,1790,1:8:51,https://www.youtube.com/watch?v=34Ady4FD79k
60 Seconds TRICK to Optimize your PYTHON Code | GeeksforGeeks #shorts,924,45,https://www.youtube.com/watch?v=cd0iFrCDm7M
Day 9 | The Art of Data Storytelling | How Numbers speak Louder than Words | Geek-O-Lympics 2023,716,59:29,https://www.youtube.com/watch?v=baNfsN0SWWk
Roadmap for Test Automation Engineering | Nitesh Jain,1030,57:42,https://www.youtube.com/watch?v=DW8r1fACCLY
Day 8 | Power of Python in Data Science | Ashish Jangra | Geek-O-Lympics 2023,1456,55:26,https://www.youtube.com/watch?v=YPTkw7rr408
Day 7 | Learn Kotlin | The future of Android Development | Geek-O-Lympics 2023,1806,50:40,https://www.youtube.com/watch?v=392InfvpaiE
Explore GeeksforGeeks Hiring Solutions | For Top Tech Companies | Innovative Hiring Solutions,600,2:51,https://www.youtube.com/watch?v=GDeoPHRqb5w
Day 6 | Demystifying System Design interviews | Conception to Reality | Geek-O-Lympics 2023,1886,1:1:,https://www.youtube.com/watch?v=fkrBf5odxiw
Day 5 | Pushing the limits | Leveling Up In  Competitve Programming | Geek-O-Lympics 2023,1643,1:9:59,https://www.youtube.com/watch?v=qRmd49K1nK4
Best Programming language to learn DSA | @thegeekmonk1707,3121,48,https://www.youtube.com/watch?v=A1eiNCZTiPs
Day 4 | MERN Stack Best Practices | From Frontend to Backend | Geek-O-Lympics 2023,2224,51:56,https://www.youtube.com/watch?v=ogDt5qNy0es
Day 3 | Programming Languages | Bridging the gap b/w education & employment | Geek O-Lympics 2023,1230,49:59,https://www.youtube.com/watch?v=4hIgVUwtbPs
Option Hai?,6238,13,https://www.youtube.com/watch?v=_rQfmKRTMa0
Day 2 | Inside the world of Java Backend Development | Geek O-Lympics 2023,2235,1:1:53,https://www.youtube.com/watch?v=RInN-rr1kt8
Day 1 | Cracking the Coding Interview | Santosh Mishra | Geek-O-Lympics 2023,4805,1:6:9,https://www.youtube.com/watch?v=LK2bvkUnkWs
CodeCamp Day 21 | Final Challenge Integrating DSA Concepts,1407,1:47:2,https://www.youtube.com/watch?v=6GyV6KNYr0w
Geek-O-Lympics 2023 | GeeksforGeeks,3385,46,https://www.youtube.com/watch?v=hLqJiIu6LzY
CodeCamp Day 20 | Reviewing Key Concepts and Techniques,902,2:44,https://www.youtube.com/watch?v=T9TeNzB2Z24
CodeCamp Day 19 | Exploring Advanced Topics in DSA,1528,2:13:39,https://www.youtube.com/watch?v=kLZGFHK_bIc
CodeCamp Day 18 | Conquering Divide and Conquer Strategies,1144,2:9:30,https://www.youtube.com/watch?v=YMj4eEePFhY
Close call 😮‍💨,6617,12,https://www.youtube.com/watch?v=6tMHs6MFqOU
CodeCamp Day 17 | Mastering Greedy Algorithms,1529,2:10:21,https://www.youtube.com/watch?v=S_0_KBouYrA
Web 3.0 Explained | GeeksforGeeks,1551,17:8,https://www.youtube.com/watch?v=zEPRJMk3p90
CodeCamp Day 16 | Solving more and Complex Dynamic Programming Problems,980,48:20,https://www.youtube.com/watch?v=08-vGxytNdM
Geek-O-Lympics 2023 | 1st - 31st July | GeeksforGeeks,1193,10,https://www.youtube.com/watch?v=GSqepfZLKU0
CodeCamp Day 15 | Diving Deeper into Dynamic Programming,1355,1:26:56,https://www.youtube.com/watch?v=wx7Cb3rN7aY
CodeCamp Day 14 | Unleashing the Power of Dynamic Programming,1178,1:45:9,https://www.youtube.com/watch?v=imnKxqlITf8
CodeCamp Day 13 | Discovering Graph Traversal Algorithms,1025,2:14:24,https://www.youtube.com/watch?v=hgkjJD5hb5g
What Is Web Scraping & What It Is Used For | How To Use Web Scraping | GeeksforGeeks,1092,2:47,https://www.youtube.com/watch?v=MK15a0ipg-E
CodeCamp Day 12 | Graph Theory Unveiled,1232,1:50:,https://www.youtube.com/watch?v=q4ZVVImMiJU
Mega Job-A-Thon | Hire Top Talent for Your Company | GeeksforGeeks,1115,56,https://www.youtube.com/watch?v=cWPqVVobUuA
CodeCamp Day 11 | Journey into Binary Trees,1412,2:10:41,https://www.youtube.com/watch?v=U1UKjsA4jNg
CodeCamp Day 10 | Tackling Complex Problems with Recursion and Backtracking,1304,2:8:23,https://www.youtube.com/watch?v=LfnOtw-og8Q
DSA To Development: A Complete Coding Guide | Complete Coding Program By GeeksforGeeks,50082,43,https://www.youtube.com/watch?v=phr8lXH2Ee0
CodeCamp Day 9 |  Unraveling Backtracking Techniques,1592,1:52:27,https://www.youtube.com/watch?v=Br70MkraikE
Skill Up This Summer with GeeksforGeeks | Free Guidance Session,1331,1:19,https://www.youtube.com/watch?v=AbVHTqaFpBc
CodeCamp Day 8 | Exploring the Magic of Recursion,1878,1:39:46,https://www.youtube.com/watch?v=92JFtTEc04E
Unlock Your Coding Potential | Join the DSA to Development Journey | A Complete Career Program,5308,39:16,https://www.youtube.com/watch?v=eaoMNmJH6no
CodeCamp Day 7 | Advanced Sorting techniques and Problem Solving,1845,1:41:39,https://www.youtube.com/watch?v=8ZUfxmpIjXg
🫣,4324,12,https://www.youtube.com/watch?v=TLhiBPuKTOE
CodeCamp Day 6 | Sorting Techniques Demystified,1871,1:33:47,https://www.youtube.com/watch?v=nIBPrp3iOzE
What is Queue (Updated) | Queues Explained | GeeksforGeeks,968,8:50,https://www.youtube.com/watch?v=ypJwoz_SXTo
CodeCamp Day 5 | Mastering Searching Algorithms,2057,1:29:24,https://www.youtube.com/watch?v=QrMdQl8pP_A
CodeCamp Day 4 | Understanding Stacks and Queues and Problem Solving,2333,2:5:1,https://www.youtube.com/watch?v=zHSfIM0Wf-Q
CodeCamp Day 3 | Mastering Linked Lists and Problem Solving,3571,1:52:33,https://www.youtube.com/watch?v=u412j5nA3TQ
Queue Practice Questions (Updated) | DSA Concepts | GeeksforGeeks,1046,12:14,https://www.youtube.com/watch?v=KG4dbF5xRig
CodeCamp Day 2 | Exploring Arrays and Problem Solving,7046,2:29:20,https://www.youtube.com/watch?v=OMHeYpQCCPE
CodeCamp Day 1 | DSA Fundamentals and Problem-Solving Challenges,24513,2:8:37,https://www.youtube.com/watch?v=Zdp5vIHP9-c
Free Summer Offline Classes on Python Programing | For Students Aged 14-21 | GeeksforGeeks,106939,37,https://www.youtube.com/watch?v=OOLXHwZzHfM
BHAGOOOO,6344,7,https://www.youtube.com/watch?v=GzQXpj8Hlk8
The Power of System Design: Unveiling Low-Level and High-Level Design | With @ArshGoyal,1557,59:3,https://www.youtube.com/watch?v=St79oD9QxDU
Hacking 101￼,6394,13,https://www.youtube.com/watch?v=bhKvxIqxAmM
CAREER OPTIONS with Less CODING | GeeksforGeeks,5813,57,https://www.youtube.com/watch?v=TSxfYlduEdo
DSA Offline Classes | Link In BIO,31348,17,https://www.youtube.com/watch?v=ux9CXozxf8Q
Don't Know How To Transition Into Product Management? Here's Your Guide | GeeksforGeeks,2956,1:17:13,https://www.youtube.com/watch?v=ukesNehO_NE
Do. Not. Touch. It.,5007,13,https://www.youtube.com/watch?v=Ynrt1kCzVMQ
Python Libraries | Data Science | GeeksforGeeks,1307,1:26,https://www.youtube.com/watch?v=nDa75spDmeE
ITR Filing Made Simple | Documents require to file ITR | GeeksforGeeks,939,5:40,https://www.youtube.com/watch?v=SWa-tsbaIpg
Full Stack Development | LIVE Classes | GeeksforGeeks,92543,35,https://www.youtube.com/watch?v=cBfC9HLR9Qk
From Zero to AI Hero | An Inspiring Journey of an AI Engineer,1248,42:54,https://www.youtube.com/watch?v=h-Z5lI8xze8
Relatable or Relatable? 🥲,8639,7,https://www.youtube.com/watch?v=G4G2ltjuNos
GeeksforGeeks Classroom Program in NCR,2408,37,https://www.youtube.com/watch?v=uEhnTpHY26o
What is Arrays | Arrays Explained | New Video - GeeksforGeeks,2593,9:48,https://www.youtube.com/watch?v=3_x_Fb31NLE
Arrays Practice Questions (Updated) | In C++/JAVA/Python | GeeksforGeeks,2717,10:48,https://www.youtube.com/watch?v=J7EhXvnixRM
From Zero to AI Hero | An Inspiring Journey of an AI Engineer,2414,41:22,https://www.youtube.com/watch?v=N-RlBo3pv-c
😡😤,4155,11,https://www.youtube.com/watch?v=24G2og7huNY
Gate 2024: Prepare for Success! | GATE CSE 2024 | GeeksforGeeks,28183,52,https://www.youtube.com/watch?v=G-3vZKPEtKw
How to become a CTO in FUTURE | Shikhar Goel | GeeksforGeeks,1632,1:,https://www.youtube.com/watch?v=oURtQsbXKJg
Get Started with CP | Competitive Programming Tips | GeeksforGeeks,2310,1:39,https://www.youtube.com/watch?v=FCEj-mreXvI
Your First Step into 🥇 Competitive Programming 🥇 | No DSA Prerequisite | GeeksforGeeks,3401,1:14:2,https://www.youtube.com/watch?v=_HG3ScXAdf0
Best Apps to Boost your Productivity,2600,1:1,https://www.youtube.com/watch?v=NaqJ6iMohHY
React VS Angular VS Vue | GeeksforGeeks,3087,1:35,https://www.youtube.com/watch?v=sA2vgFR-fZc
GeeksforGeeks Classroom Program | Now in Noida and Gurugram!,112447,38,https://www.youtube.com/watch?v=16D2cuRy5JY
Legends say they are still running...,6477,15,https://www.youtube.com/watch?v=AAJ0X2VxVWg
😮😮😮😮,7386,4,https://www.youtube.com/watch?v=eTDvnIsDobg
Transformers in NLP | GeeksforGeeks,2223,28:45,https://www.youtube.com/watch?v=-eqjV5dwb9Q
Jobs that AI can't replace | GeeksforGeeks,3128,3:17,https://www.youtube.com/watch?v=uY05MFnSMwU
Job Fair for Students | Till 25th May Only | GeeksforGeeks,82854,39,https://www.youtube.com/watch?v=1GEegOb3fHE
3 Quick Tips!,4137,32,https://www.youtube.com/watch?v=FT_HqsKy3cQ
Caution : 100% Relatable,5863,25,https://www.youtube.com/watch?v=0NoD0Y_mAy4
"Flutter: ""Pros and Cons"" | GeeksforGeeks",2694,8:44,https://www.youtube.com/watch?v=0gnaXUiSELY
Special Rewards In #100 (Link in Comments),3711,17,https://www.youtube.com/watch?v=NNbS2iPZVBw
Hire Best Talent with GeeksforGeeks,14240,54,https://www.youtube.com/watch?v=xifGlf39ahQ
Tech Jobs without Degree | GeeksforGeeks,1380,2:3,https://www.youtube.com/watch?v=5jHvfzt8Ors
Prompt Engineering | @thegeekmonk1707 | GeeksforGeeks,1835,1:1,https://www.youtube.com/watch?v=q-qkQfAMHGw
*Packs bag and goes home 🥲*,3204,8,https://www.youtube.com/watch?v=afyHTWJK0ec
Start your writing Journey | Geek Author Badges | GeeksforGeeks,1273,1:12,https://www.youtube.com/watch?v=ISPOKldx90E
Presenting: GeeksforGeeks Author Badges | Honoring the Writer in You!,1106,56,https://www.youtube.com/watch?v=kW9BohViP04
Create Your Own Apps Today | GeeksforGeeks,34923,38,https://www.youtube.com/watch?v=LycNCWC3g18
Upgrade with skills that really matters | GeeksforGeeks,9418,24,https://www.youtube.com/watch?v=_asFvyNPNbg
World's First Virtual Game | @thegeekmonk1707 | GeeksforGeeks,2579,1:,https://www.youtube.com/watch?v=isPzwR7VVGk
Android Development: Building Apps that Change Lives | Saumya Singh,4773,1:1:27,https://www.youtube.com/watch?v=Z6uYHi6Rw6Y
Top 10 DSA Topics | Master these To Ace In Your Career | GeeksforGeeks,2444,5:38,https://www.youtube.com/watch?v=t8aN8nczZlA
GATE Journey of the Toppers | Puneet Kansal,871,1:4:16,https://www.youtube.com/watch?v=T8jLFGA3yC0
SDE Preparation in 3 hours,3184,2:55:27,https://www.youtube.com/watch?v=ftDoBLp-OfU
GATE: Unlocking Opportunities in Tech | Ribhu Mukherjee,1269,1:2:49,https://www.youtube.com/watch?v=L7USgQl9w3Y
Ernie vs ChatGPT | GeeksforGeeks,1025,1:32,https://www.youtube.com/watch?v=iM-EpJHn59Q
Full Stack Development: Become a Jack of All Trades | Yajas Sardana,3687,1:4:51,https://www.youtube.com/watch?v=S_VJWRxwxDA
Rule the Coding World with Geek Summer Carnival | GeeksforGeeks,25491,42,https://www.youtube.com/watch?v=zLj3Qb9T2Q4
